Compound,CAS,smiles,source
9-Cyanoanthracene (anthracene-9-carbonitrile),1210-12-4,N#Cc1c2ccccc2cc2ccccc12,registry
Cuminaldehyde (4-isopropylbenzaldehyde),122-03-2,CC(C)c1ccc(C=O)cc1,registry
"(��)-Desyl bromide (��-bromo-desoxybenzoin, ��-bromo-��?phenyl acetophenone)",484-50-0,,unresolved
"(��)-Desyl chloride (��-chloro-desoxybenzoin, ��-chloro-��?phenyl acetophenone)",447-31-4,O=C(c1ccccc1)C(Cl)c1ccccc1,registry
"1,2- Diacetyl benzene",704-00-7,CC(=O)C1=CC=CC=C1C(=O)C,registry_or_pubchem_previous
Cyclopropyldiphenylcarbinol (cyclopropyldiphenylmethanol),5785-66-0,OC(c1ccccc1)(c1ccccc1)C1CC1,registry
Deoxybenzoin (2-phenylacetophenone),451-40-1,O=C(Cc1ccccc1)c1ccccc1,registry
Diacetoxyiodobenzene (iodobenzenediacetate),3240-34-4,CC(=O)OI(OC(C)=O)c1ccccc1,registry
p-Cyanophenol (p-hydroxybenzonitrile),767-00-0,N#Cc1ccc(O)cc1,registry
"1,2-Diamino-4,5-dichlorobenzene",5348-42-5,Nc1cc(Cl)c(Cl)cc1N,registry
"1,4- Diacetyl benzene",1009-61-6,CC(=O)C1=CC=C(C=C1)C(=O)C,registry_or_pubchem_previous
"1,4-Diaminoanthraquinone",128-95-0,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,registry
"1,5-Diaminoanthraquinone",129-44-2,C1=CC2=C(C(=C1)N)C(=O)C3=C(C2=O)C(=CC=C3)N,registry_or_pubchem_previous
"2,6-Diaminoanthraquinone",131-14-6,C1=CC2=C(C=C1N)C(=O)C3=C(C2=O)C=C(C=C3)N,registry_or_pubchem_previous
"3,3'-Diaminobenzidine",91-95-2,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,registry
"3,4-Diaminobenzoic acid",619-05-6,Nc1ccc(C(=O)O)cc1N,registry
"3,4-Diaminobenzophenone (4-benzoyl-o-phenylenediamine)",39070-63-8,C1=CC=C(C=C1)C(=O)C2=CC(=C(C=C2)N)N,registry
"3,5-Diaminobenzoic acid",535-87-5,Nc1cc(N)cc(C(=O)O)c1,registry
"4,4'- Diaminobenzophenone",611-98-3,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,registry_or_pubchem_previous
The dihydrochloride,535-87-5,Nc1cc(N)cc(C(=O)O)c1,registry
"1,5-Diaminonaphthalene",2243-62-1,Nc1cccc2c(N)cccc12,registry
"1,8-Diaminonaphthalene",479-27-6,Nc1cccc2cccc(N)c12,registry
"2,3-Diaminonaphthalene",771-97-1,Nc1cc2ccccc2cc1N,registry
"2,5-Di-tert-amylhydroquinone",79-74-3,CCC(C)(C)C1=CC(=C(C=C1O)C(C)(C)CC)O,registry_or_pubchem_previous
"2,7-Diaminofluorene",524-64-4,C1C2=C(C=CC(=C2)N)C3=C1C=C(C=C3)N,pubchem_name
"4,4'-Diamino-3,3'-dinitrobiphenyl (3,3��-dinitrobenzidine)",6271-79-0,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)[N+](=O)[O-])[N+](=O)[O-])N,registry_or_pubchem_previous
"4,4'-Diaminodiphenyl ether (4,4'-oxydianiline, DADPE)",101-80-4,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,registry
"4,4'-Diaminodiphenylamine",537-65-5,C1=CC(=CC=C1N)NC2=CC=C(C=C2)N,registry_or_pubchem_previous
"4,4'-Diaminodiphenylmethane (MDA)",101-77-9,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,registry
"Diazoaminobenzene (1,3-diphenyltriazene)",136-36-6,,unresolved
"Dibenz[a,h]anthracene (1,2:5,6-dibenzanthracene)",53-70-3,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,registry_or_pubchem_previous
"Dibenzalacetone [DBA, bda, trans-trans-1,5-diphenyl-1,4-dien-3-one, 1,5-(bisphenyl)-penta-1E,4E-diene-3- one]",538-58-9,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2,registry_or_pubchem_previous
"trans-1,2-Dibenzoylethylene (trans-1,4-diphenyl-2-butane-1,4-dione)",959-28-4,O=C(C=CC(=O)c1ccccc1)c1ccccc1,registry
"1,4-Dibromobenzene",106-37-6,Brc1ccc(Br)cc1,registry
"2,3,6,7-Dibenzphenanthrene (pentaphene)",222-93-5,C1=CC=C2C=C3C(=CC2=C1)C=CC4=CC5=CC=CC=C5C=C43,registry_or_pubchem_previous
"2,4-Dibromoaniline",615-57-6,Nc1ccc(Br)cc1Br,registry
"2,5-Dibromobenzoic acid",610-71-9,O=C(O)c1cc(Br)ccc1Br,registry
"9,10-Dibromoanthracene",523-27-3,Brc1c2ccccc2c(Br)c2ccccc12,registry
"Dibenzoylmethane (1,3-diphenyl-1,3-propanedione)",120-46-7,O=C(CC(=O)c1ccccc1)c1ccccc1,registry
"Dibenzyl ketone (1,3-diphenyl-2-propanone)",102-04-5,O=C(Cc1ccccc1)Cc1ccccc1,registry
"N,N��-Dibenzylethylenediamine (benzathine, DBED)",140-28-3,C1=CC=C(C=C1)CNCCNCC2=CC=CC=C2,registry
"2,4-Dibromophenol",615-58-7,Oc1ccc(Br)cc1Br,registry
"2,5-Di-tert-butyl aniline",21860-03-7,CC(C)(C)C1=CC(=C(C=C1)C(C)(C)C)N,registry_or_pubchem_previous
"2,5-Dibromonitrobenzene",3460-18-2,O=[N+]([O-])c1cc(Br)ccc1Br,registry
"2,6-Dibromo-4-nitrophenol",99-28-5,O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,registry
"2,6-Dibromophenol",608-33-3,Oc1c(Br)cccc1Br,registry
"4,4'-Dibromobiphenyl",92-86-4,C1=CC(=CC=C1C2=CC=C(C=C2)Br)Br,registry
The R-(+)-enantiomer,86688-08-6,C1=CC=C2C(=C1)C=CC(=C2C3=C(C=CC4=CC=CC=C43)Br)Br,registry_or_pubchem_previous
p-Di-tert-butylbenzene,1012-72-2,CC(C)(C)c1ccc(C(C)(C)C)cc1,registry
"��,��'-Dibromo-m- xylene",626-15-3,BrCc1cccc(CBr)c1,registry
"��,��'-Dibromo-o-xylene",91-13-4,BrCc1ccccc1CBr,registry
"��,��'-Dibromo-p-xylene",623-24-5,BrCc1ccc(CBr)cc1,registry
"��,��-Dibromodeoxybenzoin (��,��-dibromobenzyl phenyl ketone)",15023-99-1,C1=CC=C(C=C1)C(=O)C(C2=CC=CC=C2)(Br)Br,registry_or_pubchem_previous
��-Dibutylamino-��-(4-methoxyphenyl)acetamide (Ambucetamide),519-88-0,CCCCN(CCCC)C(C1=CC=C(C=C1)OC)C(=O)N,registry_or_pubchem_previous
"2,4-Dichloroaniline",554-00-7,Nc1ccc(Cl)cc1Cl,registry
"2,5-Di-tert-butylhydroquinone",88-58-4,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,registry
"2,6-Di-tert-butyl-1,4-benzoquinone",719-22-2,CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,registry
"2,6-Di-tert-butyl-4-dimethylaminomethylphenol",88-27-7,CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,registry
"2,6-Di-tert-butyl-4-ethylphenol",4130-42-1,CCC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,registry_or_pubchem_previous
"2,6-Di-tert-butyl-4-isopropylphenol",5427-03-2,CC(C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,registry_or_pubchem_previous
"2,6-Di-tert-butyl-p-cresol (2,6-di-tert-butyl-4-methylphenol, butylatedhydroxytoluene, BHT or DBPC)",128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,registry
"2,6-Di-tert-butylphenol",128-39-2,CC(C)(C)c1cccc(C(C)(C)C)c1O,registry
"3,4-Dichloroaniline",95-76-1,Nc1ccc(Cl)c(Cl)c1,registry
"3,5-Di-tert-butyl catechol",1020-31-1,CC(C)(C)C1=CC(=C(C(=C1)O)O)C(C)(C)C,registry_or_pubchem_previous
"3,5-Di-tert-butyl-1,2-benzoquinone",3383-21-9,CC(C)(C)C1=CC(=O)C(=O)C(C(C)(C)C)=C1,registry
"9,10-Dichloroanthracene",605-48-1,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Cl)Cl,registry
Di-tert-butyldiperphthalate,2155-71-7,CC(C)(C)OOC(=O)C1=CC=CC=C1C(=O)OOC(C)(C)C,registry_or_pubchem_previous
"1,4-Dichlorobenzene",106-46-7,Clc1ccc(Cl)cc1,registry
"2,2'- Dichlorobenzidine",84-68-4,C1=CC(=C(C=C1N)Cl)C2=C(C=C(C=C2)N)Cl,registry_or_pubchem_previous
"2,3-Dichlorobenzoic acid",50-45-3,O=C(O)c1cccc(Cl)c1Cl,registry
"2,4-Dichlorobenzoic acid",50-84-0,O=C(O)c1ccc(Cl)cc1Cl,registry
"2,4- Dichlorobenzaldehyde",874-42-0,O=Cc1ccc(Cl)cc1Cl,registry
"2,6- Dichlorobenzaldehyde",83-38-5,C1=CC(=C(C(=C1)Cl)C=O)Cl,registry
"2,6-Dichlorobenzoic acid",50-30-6,O=C(O)c1c(Cl)cccc1Cl,registry
"3,3'- Dichlorobenzidine",91-94-1,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,registry_or_pubchem_previous
"3,4-Dichlorobenzoic acid",51-44-5,O=C(O)c1ccc(Cl)c(Cl)c1,registry
"2,3-Dichloro-5,6-dicyano-p-benzoquinone (DDQ)",84-58-2,C(#N)C1=C(C(=O)C(=C(C1=O)Cl)Cl)C#N,registry
"2,4-Dichloro-1-naphthol",2050-76-2,C1=CC=C2C(=C1)C(=CC(=C2O)Cl)Cl,registry_or_pubchem_previous
"2,4-Dichloro-6-methylphenol (2,4-dichloro-o-cresol)",1570-65-6,CC1=CC(=CC(=C1O)Cl)Cl,registry_or_pubchem_previous
"2,4-Dichlorobenzyl alcohol (Dybenal)",1777-82-9,,unresolved
"2,5-Dichloro-1,4-benzoquinone",615-93-0,O=C1C=C(Cl)C(=O)C=C1Cl,registry
"2,6-Dichloro-1,4-benzoquinone",697-91-6,O=C1C=C(Cl)C(=O)C(Cl)=C1,registry
"2,6-Dichlorobenzonitrile (Diclobenil)",1194-65-6,N#Cc1c(Cl)cccc1Cl,registry
"3,5-Dichlorobenzoic acid",51-36-5,O=C(O)c1cc(Cl)cc(Cl)c1,registry
"4,4'-Dichlorobenzophenone (4,4��-DBP)",90-98-2,O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,registry
"(��)?��-(2,4-Dichlorophenoxy)propionic acid (2,4-DP, Dichloroprop)",120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,registry
"2,3-Dichloro-1,4-naphthoquinone (Dichlone, Phygon)",117-80-6,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,registry
"2,3-Dichlorophenol",576-24-9,Oc1cccc(Cl)c1Cl,registry
"2,4- Dichloro-6-nitrophenol",609-89-2,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)Cl,registry_or_pubchem_previous
"2,4-Dichlorophenol",120-83-2,Oc1ccc(Cl)cc1Cl,registry
"2,4-Dichlorophenoxyacetic acid (2,4-D)",94-75-7,O=C(O)COc1ccc(Cl)cc1Cl,registry
"2,4-Dichlorophenylacetic acid",19719-28-9,O=C(O)Cc1ccc(Cl)cc1Cl,registry
"2,5-Dichloro-1- nitrobenzene (1,4-dichloro-4-nitrobenzene)",89-61-2,O=[N+]([O-])c1cc(Cl)ccc1Cl,registry
"2,5-Dichloro-4-nitroaniline",6627-34-5,C1=C(C(=CC(=C1Cl)[N+](=O)[O-])Cl)N,registry
"2,5-Dichlorophenol",583-78-8,Oc1cc(Cl)ccc1Cl,registry
"2,6- Dichloro-4-nitroaniline (Dichloran)",99-30-9,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,registry
"2,6- Dichloro-4-nitrophenol",618-80-4,C1=C(C=C(C(=C1Cl)O)Cl)[N+](=O)[O-],registry
"2,6-Dichlorophenol",87-65-0,Oc1c(Cl)cccc1Cl,registry
"2,6-Dichlorophenylacetic acid",6575-24-2,O=C(O)Cc1c(Cl)cccc1Cl,registry
"3,4-Dichlorophenol",95-77-2,Oc1ccc(Cl)c(Cl)c1,registry
"3,4-Dichloro-1- nitrobenzene (1,2-dichloro-4-nitrobenzene)",99-54-7,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,registry
"3,5-Dichlorophenol",591-35-5,Oc1cc(Cl)cc(Cl)c1,registry
"Dichlorophen [2,2'-methylenebis(4-chlorophenol)]",97-23-4,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,registry
"1,4-Dicyanobenzene (terephthalonitrile)",623-26-7,N#Cc1ccc(C#N)cc1,registry
"1,4-Dicyanonaphthalene",3029-30-9,N#Cc1ccc(C#N)c2ccccc12,registry
"2,4-Dichlorotoluene",95-73-8,Cc1ccc(Cl)cc1Cl,registry
"2,6-Dichlorostyrene",28469-92-3,C=Cc1c(Cl)cccc1Cl,registry
"3,4-Dichlorotoluene",95-75-0,Cc1ccc(Cl)c(Cl)c1,registry
"3,6-Dichlorophthalic anhydride",4466-59-5,C1=CC(=C2C(=C1Cl)C(=O)OC2=O)Cl,registry_or_pubchem_previous
"3-(3,4-Dichlorophenyl)-1,1-dimethyl urea (Diuron)",330-54-1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,registry
"4,5-Dichlorophthalic acid",56962-08-4,C1=C(C(=CC(=C1Cl)Cl)C(=O)O)C(=O)O,registry_or_pubchem_previous
"9,10-Dicyanoanthracene",1217-45-4,C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C#N)C#N,registry_or_pubchem_previous
"Dicinnamalacetone (1,9-diphenyl-1,3,6,8-nonatetraen-5-one)",622-21-9,O=C(C=CC=Cc1ccccc1)C=CC=Cc1ccccc1,registry
Dicumyl peroxide,80-43-3,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,registry
trans-4-(Diethylamino)azobenzene,3588-91-8,CCN(CC)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N(CC)CC,registry_or_pubchem_previous
"��,��'-Dichloro-p-xylene [1,4-bis(chloromethyl)benzene]",623-25-6,C1=CC(=CC=C1CCl)CCl,registry
"4,4'-Di-n-heptyloxyazoxybenzene","2587-42-0, 2635-26-9",CCCCCCOC1=CC=C(C=C1)N=[N+](C2=CC=C(C=C2)OCCCCCC)[O-],registry
"9,10-Dihydroanthracene",613-31-0,C1C2=CC=CC=C2CC3=CC=CC=C31,registry_or_pubchem_previous
"Diethyl terephthalate (diethyl 1,4-benzenedicarboxylic acid)",636-09-0,,unresolved
"Diethylstilboesterol [DES, stilbesterol, stilboesterol, (E)-3,4-bis(4-hydroxyphenyl)-3-hexene]",56-23-1,,unresolved
"1,4-Dihydro-1,4-epoxynaphthalene",573-57-9,C1=CC2OC1c1ccccc12,registry
"1,8-Dihydroxyanthraquinone (Danthrone, Chrysazine)",117-10-2,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,registry
"2,3-Dihydroxybenzaldehyde",24677-78-9,O=Cc1cccc(O)c1O,registry
"2,4-Dihydroxyazobenzene (Sudan orange G)",2051-85-6,C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)O)O,registry_or_pubchem_previous
"2,4-Dihydroxybenzoic acid (��-resorcylic acid)",89-86-1,O=C(O)c1ccc(O)cc1O,registry
"2,4-Dihydroxybenzophenone (DHB, benzoresorcinol)",131-56-6,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,registry
"2,5-Dihydroxybenzoic acid (Gentisic acid, 5-hydroxysalicylic acid)",490-79-9,C1=CC(=C(C=C1O)C(=O)O)O,registry
"2,6-Dihydroxybenzoic acid (��-resorcylic acid)",303-07-1,C1=CC(=C(C(=C1)O)C(=O)O)O,registry
"4,4��-Dihydroxybenzophenone",611-99-4,O=C(c1ccc(O)cc1)c1ccc(O)cc1,registry
"Dihydrochloranil (tetrachloro-1,4-hydroquinone)",87-88-6,,unresolved
"1,2-Dihydroxynaphthalene",574-00-5,C1=CC=C2C(=C1)C=CC(=C2O)O,registry_or_pubchem_previous
"1,3-Dihydroxynaphthalene (naphthoresorcinol)",132-86-5,Oc1cc(O)c2ccccc2c1,registry
"1,8-Dihydroxy-3-methylanthraquinone (chrysophanic acid)",481-74-3,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,registry_or_pubchem_previous
"2,2'-Dihydroxybiphenyl",1806-29-7,C1=CC=C(C(=C1)C2=CC=CC=C2O)O,registry
"2,5-Dihydroxybenzyl alcohol (Gentisyl alcohol)",495-08-9,C1=CC(=C(C=C1O)CO)O,registry_or_pubchem_previous
"4.4��-Dihydroxybiphenyl (4,4��-biphenol)",92-88-6,C1=CC(=CC=C1C2=CC=C(C=C2)O)O,registry
"1,4-Dihydroxynaphthalene",571-60-8,C1=CC=C2C(=C1)C(=CC=C2O)O,registry_or_pubchem_previous
"1,5-Dihydroxynaphthalene (1,5-naphthalenediol)",83-56-7,Oc1cccc2c(O)cccc12,registry
"1,6-Dihydroxynaphthalene",575-44-0,Oc1ccc2c(O)cccc2c1,registry
"C12H10O3, M 202.2, has m 127o (from cyclohexane), the diacetate [5697-00- 7] C14H12O4, M 244.2, has m 128-130o (plates from EtOH). 4-Methoxy-1-naphthol",84-85-5,COc1ccc(O)c2ccccc12,registry
", prepared by methylation (excess Me2SO4/KOH), has b 167-168o/12mm, and the solidified distillate was crystallised from Et2O, EtOH or aqueous EtOH giving the less soluble leaflets m 157o (whose picrate has m 172o, brown-red needles from EtOH), and an equal amount of the more soluble 8-methoxy-1-naphthol",3588-75-6,,unresolved
"1,7-Dihydroxynaphthalene",575-38-2,Oc1ccc2cccc(O)c2c1,registry
"1,7-Dimethoxynaphthalene",5309-18-2,COC1=CC2=C(C=CC=C2OC)C=C1,registry_or_pubchem_previous
"1,8-Dihydroxynaphthalene",569-42-6,C1=CC2=C(C(=C1)O)C(=CC=C2)O,registry_or_pubchem_previous
"1,8-Methoxynaphthalene",10075-66-8,COC1=CC=CC2=C1C(=CC=C2)OC,registry_or_pubchem_previous
"2,3-Dihydroxynaphthalene",92-44-4,Oc1cc2ccccc2cc1O,registry
7-Methoxy-1-naphthol,67247-13-6,COC1=CC2=C(C=CC=C2O)C=C1,registry_or_pubchem_previous
"C14H12O4, M 244.2, m 108o, forms plates from *C6H6. 1-Methoxy-7-naphthol",91344-50-2,COC1=CC=CC2=C1C=C(C=C2)O,registry_or_pubchem_previous
"1,4-Diiodobenzene",624-38-4,Ic1ccc(I)cc1,registry
"2,5-Dihydroxyphenylacetic acid (homogentisic acid)",451-13-8,O=C(O)Cc1cc(O)ccc1O,registry
"2,6-Dihydroxynaphthalene",581-43-1,Oc1ccc2cc(O)ccc2c1,registry
"2,7-Dihydroxynaphthalene",582-17-2,Oc1ccc2ccc(O)cc2c1,registry
"3,4-Dihydroxytoluene (4-methylcatechol)",452-86-8,Cc1ccc(O)c(O)c1,registry
has m 136o (from AcOH). 2-Hydroxy-7- methoxy-naphthalene,5060-82-2,COC1=CC2=C(C=CC(=C2)O)C=C1,registry_or_pubchem_previous
that was shown to be 6-methoxy-2-tetralone,2472-22-2,COc1ccc2c(c1)CCC(=O)C2,registry
"1,2-Dimethoxybenzene (veratrole)",91-16-7,COc1ccccc1OC,registry
"1,4-Dimethoxybenzene",150-78-7,COc1ccc(OC)cc1,registry
"1,4-Dimethoxynaphthalene",10075-62-4,COc1ccc(OC)c2ccccc12,registry
"1,5- Dimethoxynaphthalene",10075-63-5,COC1=CC=CC2=C1C=CC=C2OC,registry_or_pubchem_previous
"2,4-Dimethoxybenzoic acid",91-52-1,COc1ccc(C(=O)O)c(OC)c1,registry
"2,6- Dimethoxybenzoic acid",1466-76-8,COc1cccc(OC)c1C(=O)O,registry
"2,6-Dimethoxy-1,4-benzoquinone (DMBQ)",530-55-2,COC1=CC(=O)C=C(OC)C1=O,registry
"3,4-Dimethoxybenzoic acid (veratric acid)",93-07-2,COC1=C(C=C(C=C1)C(=O)O)OC,registry_or_pubchem_previous
"3,5-Dimethoxybenzaldehyde",7311-34-4,COc1cc(C=O)cc(OC)c1,registry
"3,5-Dimethoxybenzoic acid",1132-21-4,COC1=CC(=CC(=C1)C(=O)O)OC,registry
"4,4��-Dimethoxybenzophenone",90-96-0,COc1ccc(C(=O)c2ccc(OC)cc2)cc1,registry
"5,6-Dimethoxy-1-indanone",2107-69-9,COC1=C(C=C2C(=C1)CCC2=O)OC,registry
"trans-4,4'-Dimethoxyazobenzene",501-58-6,COC1=CC=C(C=C1)N=NC2=CC=C(C=C2)OC,registry_or_pubchem_previous
"2,6-Dimethoxytoluene",5673-07-4,CC1=C(C=CC=C1OC)OC,registry_or_pubchem_previous
"3,4-Dimethoxy-6-nitrobenzaldehyde (6-nitroverataldehyde)",20357-25-9,COc1cc(C=O)c([N+](=O)[O-])cc1OC,registry
"3,4-Dimethoxyphenyl acetic acid (homoveratric acid)",93-40-3,COc1ccc(CC(=O)O)cc1OC,registry
"3,5-Dimethoxyphenylacetonitrile",13388-75-5,COc1cc(CC#N)cc(OC)c1,registry
"4,4'-Dimethoxytrityl chloride (DMT)",40615-36-9,COc1ccc(C(Cl)(c2ccccc2)c2ccc(OC)cc2)cc1,registry
"4-Dimethylaminoazobenzene (DAB, Dimethyl Yellow, Butter yellow)",60-11-7,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,registry
"4-Dimethylaminobenzaldehyde (Ehrlich's Reagent, DMAB)",100-10-7,CN(C)c1ccc(C=O)cc1,registry
4-Dimethylamino cinnamaldehyde,6203-18-5,CN(C)c1ccc(C=CC=O)cc1,registry
4-Dimethylamino trans-cinnamic acid,1552-96-1,CN(C)C1=CC=C(C=C1)C=CC(=O)O,registry
4-Dimethylaminobenzoic acid,619-84-1,CN(C)c1ccc(C(=O)O)cc1,registry
4-Dimethylaminobenzophenone,530-44-9,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,registry
"2,3-Dimethylaniline [2,3-xylidine (vic, o)]",87-59-2,Cc1cccc(N)c1C,registry
"3,4-Dimethylaniline [3,4- xylidine]",95-64-7,Cc1ccc(N)cc1C,registry
"7,12-Dimethylbenz[a]anthracene (DMBA)",57-97-6,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,registry_or_pubchem_previous
"9,10-Dimethylanthracene",781-43-1,Cc1c2ccccc2c(C)c2ccccc12,registry
"N,N-Dimethylaniline",121-69-7,CN(C)c1ccccc1,registry
"1,5-Dimethylnaphthalene",571-61-9,Cc1cccc2c(C)cccc12,registry
"2,3-Dimethylbenzoic acid",603-79-2,Cc1cccc(C(=O)O)c1C,registry
"2,3-Dimethylnaphthalene",581-40-8,Cc1cc2ccccc2cc1C,registry
"2,4-Dimethylbenzoic acid",611-01-8,Cc1ccc(C(=O)O)c(C)c1,registry
"2,5-Dimethyl-1,4-benzoquinone",137-18-8,CC1=CC(=O)C(=CC1=O)C,registry_or_pubchem_previous
"2,5-Dimethylbenzoic acid",610-72-0,Cc1ccc(C)c(C(=O)O)c1,registry
"2,6-Dimethyl-1,4-benzoquinone (Phloron)",527-61-7,CC1=CC(=O)C=C(C)C1=O,registry
"2,6-Dimethylbenzoic acid",632-46-2,Cc1cccc(C)c1C(=O)O,registry
"2,6-Dimethylnaphthalene",581-42-0,CC1=CC2=C(C=C1)C=C(C=C2)C,registry_or_pubchem_previous
"3,3'-Dimethylcarbanilide [N,N��-bis-(m-tolyl)urea]",620-50-8,CC1=CC(=CC=C1)NC(=O)NC2=CC=CC(=C2)C,registry_or_pubchem_previous
"3,3'-Dimethylnaphthidine (4,4'-diamino-3,3'-dimethyl-1,1'-binaphthyl)",13138-48-2,CC1=C(C2=CC=CC=C2C(=C1)C3=CC(=C(C4=CC=CC=C43)N)C)N,registry_or_pubchem_previous
"3,4-Dimethylbenzoic acid",619-04-5,Cc1ccc(C(=O)O)cc1C,registry
"3,5-Dimethylbenzoic acid",499-06-9,Cc1cc(C)cc(C(=O)O)c1,registry
"Filter, cool and collect the hydrochloride",42344-05-8,CN(C)C1=CC=C(C=C1)N=O.Cl,registry_or_pubchem_previous
"N,N-Dimethyl-3-nitroaniline",619-31-8,CN(C)c1cccc([N+](=O)[O-])c1,registry
"N,N-Dimethyl-4-nitroaniline",100-23-2,CN(C)c1ccc([N+](=O)[O-])cc1,registry
"N,N-Dimethyl-p-nitrosoaniline (4-nitroso-N,N-dimethylaniline)",138-89-6,CN(C)c1ccc(N=O)cc1,registry
"2,3-Dimethylphenol",526-75-0,CC1=C(C(=CC=C1)O)C,registry_or_pubchem_previous
"2,6-Dimethylphenol",576-26-1,Cc1cccc(C)c1O,registry
"3,4-Dimethylphenol",95-65-8,Cc1ccc(O)cc1C,registry
"M 149.2, m 164o (164-5o, 168-170o also reported, and 176- 177o on rapid heating) is prepared by heating 2,6-dimethylaniline (see",87-62-7,Cc1cccc(C)c1N,registry
"Thus a solution of redistilled SOCl2 (0.5mol) in DMF (150ml) is added slowly to a stirred solution of *N-(2,6-dimethylphenyl)formamide (0.5mol, see below) {M 149.2, m 165o, see",607-92-1,CC1=C(C(=CC=C1)C)NC=O,registry_or_pubchem_previous
"1,2-Dinitrobenzene",528-29-0,C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
"1,3-Dinitrobenzene",99-65-0,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],registry
"2,4-Dimethylresorcinol",634-65-1,CC1=C(C(=C(C=C1)O)C)O,registry_or_pubchem_previous
"2,4-Dinitroaniline",97-02-9,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,registry
"2,4-Dinitroanisole",119-27-7,COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],registry
"2,6-Dinitroaniline (DNAN)",606-22-4,C1=CC(=C(C(=C1)[N+](=O)[O-])N)[N+](=O)[O-],registry
"3,5-Dinitroanisole",5327-44-6,COC1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
Dimethyl terephthalate (DMT),120-61-6,COC(=O)c1ccc(C(=O)OC)cc1,registry
"1,4-Dinitrobenzene",100-25-4,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,registry
"2,2'-Dinitrobiphenyl",2436-96-6,O=[N+]([O-])c1ccccc1-c1ccccc1[N+](=O)[O-],registry
"2,4'-Dinitrobiphenyl",606-81-5,C1=CC=C(C(=C1)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
"2,4-Dinitrobenzoic acid",610-30-3,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,pubchem_name
"2,4-Dinitrofluorobenzene (FDNB, 1-fluoro-2,4-dinitrobenzene, Sanger's reagent)",70-34-8,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,registry
"2,5-Dinitrobenzoic acid",610-28-6,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-],registry_or_pubchem_previous
"2,6-Dinitro-p-cresol (2,6-dinitro-4-methylphenol)",609-93-8,CC1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],registry_or_pubchem_previous
"2,6-Dinitrobenzoic acid",603-12-3,C1=CC(=C(C(=C1)[N+](=O)[O-])C(=O)O)[N+](=O)[O-],registry_or_pubchem_previous
